6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[  2.28167839e-15]	[-1.]	[  1.01064310e-15]	[-2.]
[  2.72576760e-15]	[-1.]	[  1.45473231e-15]	[-2.]
[  2.94781220e-15]	[-1.]	[  1.23268770e-15]	[-2.]
[  3.16985681e-15]	[-1.]	[  1.23268770e-15]	[-2.]
[  3.16985681e-15]	[-1.]	[  7.88598495e-16]	[-2.]
[  3.39190141e-15]	[-1.]	[  1.01064310e-15]	[-2.]
[  3.39190141e-15]	[-1.]	[  1.01064310e-15]	[-2.]
[  3.39190141e-15]	[-1.]	[  7.88598495e-16]	[-2.]
[  3.16985681e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[  2.94781220e-15]	[-1.]	[  3.44509285e-16]	[-2.]
[  2.72576760e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.50372299e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.05963378e-15]	[-1.]	[ -3.21624530e-16]	[-2.]
[  1.61554457e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.17145536e-15]	[-1.]	[ -7.65713740e-16]	[-2.]
[  7.27366155e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.87758345e-16]	[-2.]
[ -8.26946080e-16]	[-1.]	[ -1.43184755e-15]	[-2.]
[ -1.27103529e-15]	[-1.]	[ -1.43184755e-15]	[-2.]
[ -1.93716910e-15]	[-1.]	[ -1.87593676e-15]	[-2.]
[ -2.38125831e-15]	[-1.]	[ -1.87593676e-15]	[-2.]
[ -2.82534752e-15]	[-1.]	[ -1.87593676e-15]	[-2.]
[ -3.26943673e-15]	[-1.]	[ -2.09798137e-15]	[-2.]
[ -3.49148134e-15]	[-1.]	[ -1.87593676e-15]	[-2.]
[ -3.93557055e-15]	[-1.]	[ -2.32002597e-15]	[-2.]
[ -4.15761515e-15]	[-1.]	[ -2.32002597e-15]	[-2.]
[ -4.37965976e-15]	[-1.]	[ -2.32002597e-15]	[-2.]
[ -4.37965976e-15]	[-1.]	[ -2.09798137e-15]	[-2.]
